Leading Cancer Sites,Leading Cancer Sites Code,Year,Year Code,Sex,Sex Code,Ethnicity,Ethnicity Code,Mortality-Incidence Age-Adjusted Rate Ratio,Death Counts,Mortality Population,Mortality Age-Adjusted Rate,Incidence Counts,Incidence Population,Incidence Age-Adjusted Rate
Esophagus,21010,2002,2002,Female,F,Hispanic,2135-2,0.701,82,18777495,0.949,123,18777495,1.353
Esophagus,21010,2002,2002,Female,F,Non-Hispanic,2186-5,0.874,2803,126141727,1.816,3154,126141727,2.079
Esophagus,21010,2002,2002,Male,M,Hispanic,2135-2,0.772,329,19788056,4.355,445,19788056,5.639
Esophagus,21010,2002,2002,Male,M,Non-Hispanic,2186-5,0.921,9327,120059234,8.026,10243,120059234,8.714
Esophagus,21010,2002,2002,Male,M,Unknown or Missing,UNK,Not Applicable,29,Not Applicable,Not Applicable,36,Not Applicable,Not Applicable
Esophagus,21010,2003,2003,Female,F,Hispanic,2135-2,0.679,99,19529116,1.003,147,19529116,1.477
Esophagus,21010,2003,2003,Female,F,Non-Hispanic,2186-5,0.871,2835,128149920,1.797,3199,128149920,2.063
Esophagus,21010,2003,2003,Male,M,Hispanic,2135-2,0.69,322,20516198,3.973,471,20516198,5.758
Esophagus,21010,2003,2003,Male,M,Non-Hispanic,2186-5,0.893,9580,121912699,7.998,10872,121912699,8.956
Esophagus,21010,2003,2003,Male,M,Unknown or Missing,UNK,Not Applicable,19,Not Applicable,Not Applicable,24,Not Applicable,Not Applicable
Esophagus,21010,2004,2004,Female,F,Hispanic,2135-2,0.635,94,20263650,0.946,154,20263650,1.491
Esophagus,21010,2004,2004,Female,F,Non-Hispanic,2186-5,0.842,2842,128713636,1.783,3322,128713636,2.116
Esophagus,21010,2004,2004,Male,M,Hispanic,2135-2,0.706,346,21233735,4.188,518,21233735,5.93
Esophagus,21010,2004,2004,Male,M,Non-Hispanic,2186-5,0.877,9715,122594277,7.985,11277,122594277,9.11
Esophagus,21010,2004,2004,Male,M,Unknown or Missing,UNK,Not Applicable,20,Not Applicable,Not Applicable,22,Not Applicable,Not Applicable
Esophagus,21010,2005,2005,Female,F,Hispanic,2135-2,0.606,90,21030934,0.842,150,21030934,1.39
Esophagus,21010,2005,2005,Female,F,Non-Hispanic,2186-5,0.849,2794,129182533,1.735,3231,129182533,2.042
Esophagus,21010,2005,2005,Male,M,Hispanic,2135-2,0.765,391,21983069,4.519,545,21983069,5.907
Esophagus,21010,2005,2005,Male,M,Non-Hispanic,2186-5,0.916,10203,123116126,8.209,11303,123116126,8.957
Esophagus,21010,2005,2005,Male,M,Unknown or Missing,UNK,Not Applicable,17,Not Applicable,Not Applicable,32,Not Applicable,Not Applicable
Esophagus,21010,2006,2006,Female,F,Hispanic,2135-2,0.763,109,21837469,0.957,149,21837469,1.255
Esophagus,21010,2006,2006,Female,F,Non-Hispanic,2186-5,0.853,2848,129895178,1.745,3301,129895178,2.046
Esophagus,21010,2006,2006,Male,M,Hispanic,2135-2,0.778,409,22764677,4.329,541,22764677,5.562
Esophagus,21010,2006,2006,Male,M,Non-Hispanic,2186-5,0.896,10291,123882588,8.103,11681,123882588,9.046
Esophagus,21010,2006,2006,Male,M,Unknown or Missing,UNK,Not Applicable,22,Not Applicable,Not Applicable,25,Not Applicable,Not Applicable
Esophagus,21010,2007,2007,Female,F,Hispanic,2135-2,0.551,80,22650892,0.694,151,22650892,1.259
Esophagus,21010,2007,2007,Female,F,Non-Hispanic,2186-5,0.84,2759,130515461,1.661,3237,130515461,1.977
Esophagus,21010,2007,2007,Male,M,Hispanic,2135-2,0.713,403,23542063,4.004,559,23542063,5.612
Esophagus,21010,2007,2007,Male,M,Non-Hispanic,2186-5,0.891,10337,124522791,7.947,11785,124522791,8.915
Esophagus,21010,2008,2008,Female,F,Hispanic,2135-2,0.641,104,23468891,0.827,172,23468891,1.291
Esophagus,21010,2008,2008,Female,F,Non-Hispanic,2186-5,0.838,2761,131135124,1.636,3249,131135124,1.952
Esophagus,21010,2008,2008,Male,M,Hispanic,2135-2,0.752,461,24320894,4.509,650,24320894,5.995
Esophagus,21010,2008,2008,Male,M,Non-Hispanic,2186-5,0.858,10366,125169057,7.779,12269,125169057,9.068
Esophagus,21010,2008,2008,Male,M,Unknown or Missing,UNK,Not Applicable,20,Not Applicable,Not Applicable,26,Not Applicable,Not Applicable
Esophagus,21010,2009,2009,Female,F,Hispanic,2135-2,0.747,110,24261364,0.82,151,24261364,1.097
Esophagus,21010,2009,2009,Female,F,Non-Hispanic,2186-5,0.817,2761,131702711,1.605,3351,131702711,1.965
Esophagus,21010,2009,2009,Male,M,Hispanic,2135-2,0.802,468,25062023,4.325,609,25062023,5.392
Esophagus,21010,2009,2009,Male,M,Non-Hispanic,2186-5,0.86,10536,125745431,7.724,12459,125745431,8.98
Esophagus,21010,2009,2009,Male,M,Unknown or Missing,UNK,Not Applicable,25,Not Applicable,Not Applicable,27,Not Applicable,Not Applicable
Esophagus,21010,2010,2010,Female,F,Hispanic,2135-2,0.751,117,24992953,0.831,164,24992953,1.107
Esophagus,21010,2010,2010,Female,F,Non-Hispanic,2186-5,0.902,2951,132256712,1.679,3209,132256712,1.863
Esophagus,21010,2010,2010,Male,M,Hispanic,2135-2,0.795,475,25738929,4.08,612,25738929,5.131
Esophagus,21010,2010,2010,Male,M,Non-Hispanic,2186-5,0.934,10919,126338549,7.839,11916,126338549,8.391
Esophagus,21010,2010,2010,Male,M,Unknown or Missing,UNK,Not Applicable,22,Not Applicable,Not Applicable,30,Not Applicable,Not Applicable
Esophagus,21010,2011,2011,Female,F,Hispanic,2135-2,0.713,130,25565638,0.873,182,25565638,1.225
Esophagus,21010,2011,2011,Female,F,Non-Hispanic,2186-5,0.849,2798,132804863,1.578,3267,132804863,1.858
Esophagus,21010,2011,2011,Male,M,Hispanic,2135-2,0.908,543,26254388,4.553,646,26254388,5.013
Esophagus,21010,2011,2011,Male,M,Non-Hispanic,2186-5,0.913,10951,126958592,7.689,12255,126958592,8.42
Esophagus,21010,2011,2011,Male,M,Unknown or Missing,UNK,Not Applicable,20,Not Applicable,Not Applicable,35,Not Applicable,Not Applicable
Esophagus,21010,2012,2012,Female,F,Hispanic,2135-2,0.713,104,26106559,0.684,157,26106559,0.958
Esophagus,21010,2012,2012,Female,F,Non-Hispanic,2186-5,0.857,2842,133374076,1.559,3261,133374076,1.82
Esophagus,21010,2012,2012,Male,M,Hispanic,2135-2,0.776,517,26757437,4.045,705,26757437,5.21
Esophagus,21010,2012,2012,Male,M,Non-Hispanic,2186-5,0.919,11153,127639590,7.608,12284,127639590,8.277
Esophagus,21010,2012,2012,Male,M,Unknown or Missing,UNK,Not Applicable,27,Not Applicable,Not Applicable,23,Not Applicable,Not Applicable
Esophagus,21010,2013,2013,Female,F,Hispanic,2135-2,0.732,118,26641948,0.719,164,26641948,0.982
Esophagus,21010,2013,2013,Female,F,Non-Hispanic,2186-5,0.817,2834,133903945,1.531,3423,133903945,1.875
Esophagus,21010,2013,2013,Male,M,Hispanic,2135-2,0.763,475,27259191,3.521,649,27259191,4.612
Esophagus,21010,2013,2013,Male,M,Non-Hispanic,2186-5,0.903,11226,128254863,7.493,12620,128254863,8.3
Esophagus,21010,2013,2013,Male,M,Unknown or Missing,UNK,Not Applicable,30,Not Applicable,Not Applicable,32,Not Applicable,Not Applicable
Esophagus,21010,2014,2014,Female,F,Hispanic,2135-2,0.714,134,27186616,0.807,197,27186616,1.13
Esophagus,21010,2014,2014,Female,F,Non-Hispanic,2186-5,0.811,2839,134503903,1.503,3450,134503903,1.853
Esophagus,21010,2014,2014,Male,M,Hispanic,2135-2,0.84,561,27786043,3.973,712,27786043,4.728
Esophagus,21010,2014,2014,Male,M,Non-Hispanic,2186-5,0.896,11357,128909767,7.399,12858,128909767,8.26
Esophagus,21010,2014,2014,Male,M,Unknown or Missing,UNK,Not Applicable,35,Not Applicable,Not Applicable,35,Not Applicable,Not Applicable
Esophagus,21010,2015,2015,Female,F,Hispanic,2135-2,0.65,138,27757109,0.755,213,27757109,1.162
Esophagus,21010,2015,2015,Female,F,Non-Hispanic,2186-5,0.807,2876,135075042,1.495,3496,135075042,1.854
Esophagus,21010,2015,2015,Male,M,Hispanic,2135-2,0.756,545,28354824,3.609,753,28354824,4.775
Esophagus,21010,2015,2015,Male,M,Non-Hispanic,2186-5,0.896,11600,129552019,7.385,13158,129552019,8.246
Esophagus,21010,2015,2015,Male,M,Unknown or Missing,UNK,Not Applicable,42,Not Applicable,Not Applicable,29,Not Applicable,Not Applicable
Esophagus,21010,2016,2016,Female,F,Hispanic,2135-2,0.672,131,28342097,0.68,196,28342097,1.011
Esophagus,21010,2016,2016,Female,F,Non-Hispanic,2186-5,0.828,3005,135643965,1.531,3573,135643965,1.848
Esophagus,21010,2016,2016,Male,M,Hispanic,2135-2,0.721,564,28936905,3.562,807,28936905,4.94
Esophagus,21010,2016,2016,Male,M,Non-Hispanic,2186-5,0.896,11722,130148788,7.308,13283,130148788,8.157
Esophagus,21010,2016,2016,Male,M,Unknown or Missing,UNK,Not Applicable,31,Not Applicable,Not Applicable,34,Not Applicable,Not Applicable
Esophagus,21010,2017,2017,Female,F,Hispanic,2135-2,0.713,143,28906337,0.699,198,28906337,0.981
Esophagus,21010,2017,2017,Female,F,Non-Hispanic,2186-5,0.794,2857,136102346,1.432,3546,136102346,1.804
Esophagus,21010,2017,2017,Male,M,Hispanic,2135-2,0.787,619,29490085,3.74,830,29490085,4.751
Esophagus,21010,2017,2017,Male,M,Non-Hispanic,2186-5,0.874,11654,130623360,7.091,13495,130623360,8.114
Esophagus,21010,2017,2017,Male,M,Unknown or Missing,UNK,Not Applicable,41,Not Applicable,Not Applicable,43,Not Applicable,Not Applicable
Esophagus,21010,2018,2018,Female,F,Hispanic,2135-2,0.615,133,29449021,0.646,228,29449021,1.05
Esophagus,21010,2018,2018,Female,F,Non-Hispanic,2186-5,0.793,2981,136428665,1.471,3700,136428665,1.854
Esophagus,21010,2018,2018,Male,M,Hispanic,2135-2,0.777,666,30013471,3.698,900,30013471,4.757
Esophagus,21010,2018,2018,Male,M,Non-Hispanic,2186-5,0.833,11603,130947042,6.903,14041,130947042,8.282
Esophagus,21010,2018,2018,Male,M,Unknown or Missing,UNK,Not Applicable,28,Not Applicable,Not Applicable,40,Not Applicable,Not Applicable
Esophagus,21010,2019,2019,Female,F,Hispanic,2135-2,0.62,146,29926362,0.672,241,29926362,1.084
Esophagus,21010,2019,2019,Female,F,Non-Hispanic,2186-5,0.761,2988,136711255,1.449,3883,136711255,1.904
Esophagus,21010,2019,2019,Male,M,Hispanic,2135-2,0.699,643,30471950,3.528,959,30471950,5.05
Esophagus,21010,2019,2019,Male,M,Non-Hispanic,2186-5,0.858,12157,131220386,7.127,14376,131220386,8.304
Esophagus,21010,2019,2019,Male,M,Unknown or Missing,UNK,Not Applicable,22,Not Applicable,Not Applicable,30,Not Applicable,Not Applicable
Esophagus,21010,2020,2020,Female,F,Hispanic,2135-2,0.653,138,29686986,0.608,217,29686986,0.932
Esophagus,21010,2020,2020,Female,F,Non-Hispanic,2186-5,0.829,2926,132552322,1.434,3478,132552322,1.731
Esophagus,21010,2020,2020,Male,M,Hispanic,2135-2,0.796,623,30192675,3.301,833,30192675,4.149
Esophagus,21010,2020,2020,Male,M,Non-Hispanic,2186-5,0.876,11404,127158928,6.756,13091,127158928,7.713
Esophagus,21010,2020,2020,Male,M,Unknown or Missing,UNK,Not Applicable,20,Not Applicable,Not Applicable,35,Not Applicable,Not Applicable
Gallbladder,21080,1999,1999,Female,F,Hispanic,2135-2,0.559,164,16482539,1.961,293,16482539,3.507
Gallbladder,21080,1999,1999,Female,F,Non-Hispanic,2186-5,0.637,1297,123911675,0.861,2013,123911675,1.352
Gallbladder,21080,1999,1999,Male,M,Hispanic,2135-2,0.621,44,17412426,0.765,76,17412426,1.233
Gallbladder,21080,1999,1999,Male,M,Non-Hispanic,2186-5,0.621,523,117654708,0.504,850,117654708,0.812
Gallbladder,21080,2000,2000,Female,F,Hispanic,2135-2,0.553,142,17296134,1.641,274,17296134,2.965
Gallbladder,21080,2000,2000,Female,F,Non-Hispanic,2186-5,0.597,1224,124569636,0.808,2020,124569636,1.354
Gallbladder,21080,2000,2000,Male,M,Hispanic,2135-2,0.589,53,18311173,0.909,99,18311173,1.544
Gallbladder,21080,2000,2000,Male,M,Non-Hispanic,2186-5,0.67,506,118381271,0.479,770,118381271,0.715
Gallbladder,21080,2001,2001,Female,F,Hispanic,2135-2,0.496,146,18038562,1.571,298,18038562,3.169
Gallbladder,21080,2001,2001,Female,F,Non-Hispanic,2186-5,0.612,1247,125565415,0.813,2027,125565415,1.328
Gallbladder,21080,2001,2001,Male,M,Hispanic,2135-2,0.515,60,19057491,0.883,115,19057491,1.714
Gallbladder,21080,2001,2001,Male,M,Non-Hispanic,2186-5,0.59,499,119454493,0.466,860,119454493,0.791
Gallbladder,21080,2002,2002,Female,F,Hispanic,2135-2,0.488,145,18777495,1.446,293,18777495,2.962
Gallbladder,21080,2002,2002,Female,F,Non-Hispanic,2186-5,0.628,1185,126141727,0.766,1875,126141727,1.22
Gallbladder,21080,2002,2002,Male,M,Hispanic,2135-2,0.615,53,19788056,0.833,95,19788056,1.356
Gallbladder,21080,2002,2002,Male,M,Non-Hispanic,2186-5,0.592,503,120059234,0.459,865,120059234,0.776
Gallbladder,21080,2003,2003,Female,F,Hispanic,2135-2,0.422,120,19529116,1.202,302,19529116,2.847
Gallbladder,21080,2003,2003,Female,F,Non-Hispanic,2186-5,0.594,1198,128149920,0.751,1996,128149920,1.265
Gallbladder,21080,2003,2003,Male,M,Hispanic,2135-2,0.519,54,20516198,0.674,99,20516198,1.299
Gallbladder,21080,2003,2003,Male,M,Non-Hispanic,2186-5,0.592,541,121912699,0.48,924,121912699,0.812
Gallbladder,21080,2004,2004,Female,F,Hispanic,2135-2,0.436,121,20263650,1.162,294,20263650,2.664
Gallbladder,21080,2004,2004,Female,F,Non-Hispanic,2186-5,0.59,1217,128713636,0.76,2041,128713636,1.288
Gallbladder,21080,2004,2004,Male,M,Hispanic,2135-2,0.507,52,21233735,0.668,101,21233735,1.318
Gallbladder,21080,2004,2004,Male,M,Non-Hispanic,2186-5,0.605,543,122594277,0.473,914,122594277,0.781
Gallbladder,21080,2005,2005,Female,F,Hispanic,2135-2,0.411,149,21030934,1.278,353,21030934,3.108
Gallbladder,21080,2005,2005,Female,F,Non-Hispanic,2186-5,0.6,1256,129182533,0.77,2068,129182533,1.284
Gallbladder,21080,2005,2005,Male,M,Hispanic,2135-2,0.399,48,21983069,0.582,126,21983069,1.457
Gallbladder,21080,2005,2005,Male,M,Non-Hispanic,2186-5,0.614,536,123116126,0.453,885,123116126,0.737
Gallbladder,21080,2006,2006,Female,F,Hispanic,2135-2,0.518,180,21837469,1.5,349,21837469,2.897
Gallbladder,21080,2006,2006,Female,F,Non-Hispanic,2186-5,0.6,1243,129895178,0.754,2054,129895178,1.257
Gallbladder,21080,2006,2006,Male,M,Hispanic,2135-2,0.491,58,22764677,0.675,125,22764677,1.373
Gallbladder,21080,2006,2006,Male,M,Non-Hispanic,2186-5,0.545,515,123882588,0.433,963,123882588,0.795
Gallbladder,21080,2007,2007,Female,F,Hispanic,2135-2,0.426,142,22650892,1.152,348,22650892,2.704
Gallbladder,21080,2007,2007,Female,F,Non-Hispanic,2186-5,0.554,1183,130515461,0.704,2100,130515461,1.269
Gallbladder,21080,2007,2007,Male,M,Hispanic,2135-2,0.562,61,23542063,0.734,118,23542063,1.307
Gallbladder,21080,2007,2007,Male,M,Non-Hispanic,2186-5,0.56,528,124522791,0.437,975,124522791,0.78
Gallbladder,21080,2008,2008,Female,F,Hispanic,2135-2,0.45,158,23468891,1.22,363,23468891,2.709
Gallbladder,21080,2008,2008,Female,F,Non-Hispanic,2186-5,0.556,1178,131135124,0.695,2098,131135124,1.25
Gallbladder,21080,2008,2008,Male,M,Hispanic,2135-2,0.395,52,24320894,0.535,140,24320894,1.356
Gallbladder,21080,2008,2008,Male,M,Non-Hispanic,2186-5,0.607,579,125169057,0.456,959,125169057,0.751
Gallbladder,21080,2009,2009,Female,F,Hispanic,2135-2,0.492,192,24261364,1.39,404,24261364,2.828
Gallbladder,21080,2009,2009,Female,F,Non-Hispanic,2186-5,0.535,1188,131702711,0.685,2193,131702711,1.281
Gallbladder,21080,2009,2009,Male,M,Hispanic,2135-2,0.732,80,25062023,0.799,123,25062023,1.092
Gallbladder,21080,2009,2009,Male,M,Non-Hispanic,2186-5,0.548,582,125745431,0.448,1078,125745431,0.818
Gallbladder,21080,2010,2010,Female,F,Hispanic,2135-2,0.464,167,24992953,1.173,374,24992953,2.527
Gallbladder,21080,2010,2010,Female,F,Non-Hispanic,2186-5,0.551,1251,132256712,0.718,2238,132256712,1.303
Gallbladder,21080,2010,2010,Male,M,Hispanic,2135-2,0.605,81,25738929,0.79,140,25738929,1.308
Gallbladder,21080,2010,2010,Male,M,Non-Hispanic,2186-5,0.573,604,126338549,0.455,1056,126338549,0.794
Gallbladder,21080,2011,2011,Female,F,Hispanic,2135-2,0.521,199,25565638,1.311,388,25565638,2.517
Gallbladder,21080,2011,2011,Female,F,Non-Hispanic,2186-5,0.525,1190,132804863,0.667,2235,132804863,1.27
Gallbladder,21080,2011,2011,Male,M,Hispanic,2135-2,0.511,75,26254388,0.657,145,26254388,1.286
Gallbladder,21080,2011,2011,Male,M,Non-Hispanic,2186-5,0.583,630,126958592,0.462,1083,126958592,0.793
Gallbladder,21080,2012,2012,Female,F,Hispanic,2135-2,0.48,192,26106559,1.247,414,26106559,2.599
Gallbladder,21080,2012,2012,Female,F,Non-Hispanic,2186-5,0.526,1218,133374076,0.669,2269,133374076,1.271
Gallbladder,21080,2012,2012,Male,M,Hispanic,2135-2,0.544,70,26757437,0.588,138,26757437,1.08
Gallbladder,21080,2012,2012,Male,M,Non-Hispanic,2186-5,0.565,615,127639590,0.448,1110,127639590,0.793
Gallbladder,21080,2013,2013,Female,F,Hispanic,2135-2,0.429,177,26641948,1.077,433,26641948,2.509
Gallbladder,21080,2013,2013,Female,F,Non-Hispanic,2186-5,0.532,1233,133903945,0.67,2291,133903945,1.259
Gallbladder,21080,2013,2013,Male,M,Hispanic,2135-2,0.484,77,27259191,0.599,166,27259191,1.239
Gallbladder,21080,2013,2013,Male,M,Non-Hispanic,2186-5,0.595,672,128254863,0.474,1145,128254863,0.798
Gallbladder,21080,2014,2014,Female,F,Hispanic,2135-2,0.492,231,27186616,1.298,471,27186616,2.638
Gallbladder,21080,2014,2014,Female,F,Non-Hispanic,2186-5,0.545,1323,134503903,0.708,2395,134503903,1.298
Gallbladder,21080,2014,2014,Male,M,Hispanic,2135-2,0.476,76,27786043,0.592,171,27786043,1.243
Gallbladder,21080,2014,2014,Male,M,Non-Hispanic,2186-5,0.558,640,128909767,0.433,1143,128909767,0.776
Gallbladder,21080,2015,2015,Female,F,Hispanic,2135-2,0.46,213,27757109,1.163,481,27757109,2.525
Gallbladder,21080,2015,2015,Female,F,Non-Hispanic,2186-5,0.546,1255,135075042,0.662,2283,135075042,1.212
Gallbladder,21080,2015,2015,Male,M,Hispanic,2135-2,0.361,69,28354824,0.478,179,28354824,1.325
Gallbladder,21080,2015,2015,Male,M,Non-Hispanic,2186-5,0.507,582,129552019,0.396,1154,129552019,0.779
Gallbladder,21080,2016,2016,Female,F,Hispanic,2135-2,0.491,207,28342097,1.065,435,28342097,2.171
Gallbladder,21080,2016,2016,Female,F,Non-Hispanic,2186-5,0.513,1253,135643965,0.643,2398,135643965,1.252
Gallbladder,21080,2016,2016,Male,M,Hispanic,2135-2,0.462,77,28936905,0.55,188,28936905,1.19
Gallbladder,21080,2016,2016,Male,M,Non-Hispanic,2186-5,0.542,626,130148788,0.413,1188,130148788,0.761
Gallbladder,21080,2017,2017,Female,F,Hispanic,2135-2,0.448,218,28906337,1.069,503,28906337,2.384
Gallbladder,21080,2017,2017,Female,F,Non-Hispanic,2186-5,0.538,1238,136102346,0.627,2283,136102346,1.165
Gallbladder,21080,2017,2017,Male,M,Hispanic,2135-2,0.533,98,29490085,0.617,196,29490085,1.157
Gallbladder,21080,2017,2017,Male,M,Non-Hispanic,2186-5,0.555,637,130623360,0.409,1170,130623360,0.738
Gallbladder,21080,2018,2018,Female,F,Hispanic,2135-2,0.432,219,29449021,1.039,525,29449021,2.406
Gallbladder,21080,2018,2018,Female,F,Non-Hispanic,2186-5,0.485,1251,136428665,0.617,2524,136428665,1.272
Gallbladder,21080,2018,2018,Male,M,Hispanic,2135-2,0.341,76,30013471,0.453,234,30013471,1.326
Gallbladder,21080,2018,2018,Male,M,Non-Hispanic,2186-5,0.551,627,130947042,0.393,1147,130947042,0.712
Gallbladder,21080,2019,2019,Female,F,Hispanic,2135-2,0.48,241,29926362,1.054,511,29926362,2.196
Gallbladder,21080,2019,2019,Female,F,Non-Hispanic,2186-5,0.479,1192,136711255,0.572,2424,136711255,1.193
Gallbladder,21080,2019,2019,Male,M,Hispanic,2135-2,0.408,83,30471950,0.487,219,30471950,1.193
Gallbladder,21080,2019,2019,Male,M,Non-Hispanic,2186-5,0.488,618,131220386,0.375,1268,131220386,0.768
Gallbladder,21080,2020,2020,Female,F,Hispanic,2135-2,0.503,240,29686986,1.053,486,29686986,2.091
Gallbladder,21080,2020,2020,Female,F,Non-Hispanic,2186-5,0.547,1220,132552322,0.592,2153,132552322,1.082
Gallbladder,21080,2020,2020,Male,M,Hispanic,2135-2,0.536,110,30192675,0.66,225,30192675,1.233
Gallbladder,21080,2020,2020,Male,M,Non-Hispanic,2186-5,0.547,620,127158928,0.374,1128,127158928,0.684
Kidney and Renal Pelvis,29020,1999,1999,Female,F,Hispanic,2135-2,0.256,194,16482539,2.378,874,16482539,9.302
Kidney and Renal Pelvis,29020,1999,1999,Female,F,Non-Hispanic,2186-5,0.316,3984,123911675,2.694,11979,123911675,8.512
Kidney and Renal Pelvis,29020,1999,1999,Male,M,Hispanic,2135-2,0.307,353,17412426,5.156,1291,17412426,16.82
Kidney and Renal Pelvis,29020,1999,1999,Male,M,Non-Hispanic,2186-5,0.354,6392,117654708,5.915,18796,117654708,16.711
Kidney and Renal Pelvis,29020,2000,2000,Female,F,Hispanic,2135-2,0.25,195,17296134,2.203,883,17296134,8.808
Kidney and Renal Pelvis,29020,2000,2000,Female,F,Non-Hispanic,2186-5,0.314,4213,124569636,2.811,12725,124569636,8.949
Kidney and Renal Pelvis,29020,2000,2000,Male,M,Hispanic,2135-2,0.316,371,18311173,5.254,1351,18311173,16.639
Kidney and Renal Pelvis,29020,2000,2000,Male,M,Non-Hispanic,2186-5,0.353,6767,118381271,6.183,19997,118381271,17.495
Kidney and Renal Pelvis,29020,2000,2000,Male,M,Unknown or Missing,UNK,Not Applicable,30,Not Applicable,Not Applicable,51,Not Applicable,Not Applicable
Kidney and Renal Pelvis,29020,2001,2001,Female,F,Hispanic,2135-2,0.229,214,18038562,2.269,1057,18038562,9.887
Kidney and Renal Pelvis,29020,2001,2001,Female,F,Non-Hispanic,2186-5,0.307,4279,125565415,2.828,13255,125565415,9.223
Kidney and Renal Pelvis,29020,2001,2001,Male,M,Hispanic,2135-2,0.332,426,19057491,5.727,1507,19057491,17.262
Kidney and Renal Pelvis,29020,2001,2001,Male,M,Non-Hispanic,2186-5,0.342,6998,119454493,6.251,21296,119454493,18.279
Kidney and Renal Pelvis,29020,2002,2002,Female,F,Hispanic,2135-2,0.245,233,18777495,2.329,1050,18777495,9.51
Kidney and Renal Pelvis,29020,2002,2002,Female,F,Non-Hispanic,2186-5,0.292,4292,126141727,2.789,13915,126141727,9.552
Kidney and Renal Pelvis,29020,2002,2002,Male,M,Hispanic,2135-2,0.302,426,19788056,5.487,1627,19788056,18.168
Kidney and Renal Pelvis,29020,2002,2002,Male,M,Non-Hispanic,2186-5,0.327,7055,120059234,6.183,22503,120059234,18.93
Kidney and Renal Pelvis,29020,2002,2002,Male,M,Unknown or Missing,UNK,Not Applicable,20,Not Applicable,Not Applicable,55,Not Applicable,Not Applicable
Kidney and Renal Pelvis,29020,2003,2003,Female,F,Hispanic,2135-2,0.247,272,19529116,2.681,1274,19529116,10.848
Kidney and Renal Pelvis,29020,2003,2003,Female,F,Non-Hispanic,2186-5,0.275,4342,128149920,2.752,14901,128149920,9.993
Kidney and Renal Pelvis,29020,2003,2003,Male,M,Hispanic,2135-2,0.277,426,20516198,5.219,1830,20516198,18.856
Kidney and Renal Pelvis,29020,2003,2003,Male,M,Non-Hispanic,2186-5,0.315,7224,121912699,6.143,23891,121912699,19.52
Kidney and Renal Pelvis,29020,2003,2003,Male,M,Unknown or Missing,UNK,Not Applicable,17,Not Applicable,Not Applicable,58,Not Applicable,Not Applicable
Kidney and Renal Pelvis,29020,2004,2004,Female,F,Hispanic,2135-2,0.221,256,20263650,2.341,1306,20263650,10.603
Kidney and Renal Pelvis,29020,2004,2004,Female,F,Non-Hispanic,2186-5,0.266,4410,128713636,2.762,15704,128713636,10.389
Kidney and Renal Pelvis,29020,2004,2004,Male,M,Hispanic,2135-2,0.307,507,21233735,5.807,1935,21233735,18.913
Kidney and Renal Pelvis,29020,2004,2004,Male,M,Non-Hispanic,2186-5,0.295,7121,122594277,5.941,25137,122594277,20.113
Kidney and Renal Pelvis,29020,2005,2005,Female,F,Hispanic,2135-2,0.243,298,21030934,2.65,1394,21030934,10.893
Kidney and Renal Pelvis,29020,2005,2005,Female,F,Non-Hispanic,2186-5,0.254,4433,129182533,2.75,16452,129182533,10.805
Kidney and Renal Pelvis,29020,2005,2005,Male,M,Hispanic,2135-2,0.265,482,21983069,5.465,2189,21983069,20.647
Kidney and Renal Pelvis,29020,2005,2005,Male,M,Non-Hispanic,2186-5,0.288,7286,123116126,5.988,26419,123116126,20.787
Kidney and Renal Pelvis,29020,2006,2006,Female,F,Hispanic,2135-2,0.196,265,21837469,2.207,1543,21837469,11.249
Kidney and Renal Pelvis,29020,2006,2006,Female,F,Non-Hispanic,2186-5,0.24,4409,129895178,2.685,17296,129895178,11.17
Kidney and Renal Pelvis,29020,2006,2006,Male,M,Hispanic,2135-2,0.245,468,22764677,4.977,2272,22764677,20.347
Kidney and Renal Pelvis,29020,2006,2006,Male,M,Non-Hispanic,2186-5,0.271,7218,123882588,5.822,27806,123882588,21.478
Kidney and Renal Pelvis,29020,2007,2007,Female,F,Hispanic,2135-2,0.202,288,22650892,2.302,1651,22650892,11.409
Kidney and Renal Pelvis,29020,2007,2007,Female,F,Non-Hispanic,2186-5,0.237,4446,130515461,2.672,17698,130515461,11.28
Kidney and Renal Pelvis,29020,2007,2007,Male,M,Hispanic,2135-2,0.28,579,23542063,5.918,2510,23542063,21.109
Kidney and Renal Pelvis,29020,2007,2007,Male,M,Non-Hispanic,2186-5,0.264,7378,124522791,5.809,29090,124522791,21.974
Kidney and Renal Pelvis,29020,2008,2008,Female,F,Hispanic,2135-2,0.216,316,23468891,2.46,1739,23468891,11.386
Kidney and Renal Pelvis,29020,2008,2008,Female,F,Non-Hispanic,2186-5,0.222,4369,131135124,2.573,18478,131135124,11.613
Kidney and Renal Pelvis,29020,2008,2008,Male,M,Hispanic,2135-2,0.232,525,24320894,4.997,2707,24320894,21.498
Kidney and Renal Pelvis,29020,2008,2008,Male,M,Non-Hispanic,2186-5,0.265,7671,125169057,5.887,30069,125169057,22.221
Kidney and Renal Pelvis,29020,2009,2009,Female,F,Hispanic,2135-2,0.183,297,24261364,2.159,1873,24261364,11.778
Kidney and Renal Pelvis,29020,2009,2009,Female,F,Non-Hispanic,2186-5,0.219,4369,131702711,2.534,18678,131702711,11.587
Kidney and Renal Pelvis,29020,2009,2009,Male,M,Hispanic,2135-2,0.235,550,25062023,4.889,2754,25062023,20.772
